from,to
FN1,COL1A1
NPM1,LMNA
FLNC,DYSF
C4A,MATN2
APOA1,PITX3
FGG,FGB
PDLIM5,HSPA2
SERPINA1,GC
NEB,DYSF
CKB,LMNA
PPIA,BTBD1
PGAM4,PGAM2
MDH2,ANXA1
BTBD1,FMOD
SOD1,CKB
PRDX2,COL14A1
RACK1,SGTB
LMNA,CTSA
TUBB,TUBA4A
APOE,HADHA
PRDX1,PRDX2
SERPINA1,PPP1CA
CTSS,CTSB
TPM4,TPM3
PNN,B3GNT2
PLG,GOT1
APOE,CTSB
YWHAE,PPP1CA
APOA1,HP
ENO1,FH
APOA2,LMNA
LGALS14,PPM1J
APOE,TPM3
C5AR2,TUBA4A
GOT1,FGB
ENO1,FLNC
FN1,PRDX2
SERPINA1,MATN2
ANXA1,FABP3
FN1,TUBB
CKB,TINF2
FN1,HSPG2
MDH2,ALDH2
NPM1,DKFZp761H172
C1QA,ADIPOQ
ACTR3,HCLS1
FN1,APOA1
TPM4,CTSB
GNG12,KCTD5
GSN,GOT1
PPIA,ANXA1
APOA1,SPP1
MDH1,CTSS
PPP1CA,HADHA
APOA1,C1QA
GOT1,ANXA1
CALD1,YWHAE
PGK1,CSRP1
CTSS,COL14A1
SERPINA1,PITX3
PPP1CA,C1QA
PPIA,COL1A1
COL14A1,ADIPOQ
RC3H2,U2SURP
ENO1,FABP5
LMNA,FBN1
SGTB,SPP1
ACTA2,SGTB
PRDX1,ACAA2
PGAM1,PGK1
HADHA,UQCRC1
PPIAL4G,PPIAL4D
HP,PPP1CA
HPR,HP
YWHAE,SCPEP1
RACK1,TUBB
ITIH3,PITX3
MDH2,ACAA2
SERPINA1,FGB
PPIA,NPM1
SGTB,ADIPOQ
NPM1,TUBA1C
TUBB,TTK
GC,FGB
APOE,PITX3
ENO1,PGK1
NPM1,KCTD5
HPR,MATN2
ENO3,NEB
GOT1,LMNA
TPM4,COX4I1
PRDX1,RIPK3
ENO1,ACAA2
TTR,APOA1
SOD1,GOT1
PNN,PPIAL4F
C4A,APOA2
FN1,PGK1
PGK1,YWHAE
ACTR3,PPM1J
C3,FN1
APOA1,GOT1
ITIH1,PITX3
APOE,HP
APOE,PRDX2
ENO3,FABP5
PRDX2,STAT3
TGFBI,POSTN
ALDH2,FGB
HSPG2,FBN1
ATP5PO,HADHA
MATN2,FGG
HSPA2,HMGN5
SOD1,PPIAL4A
ATP5PO,MDH2
TGFBI,HTRA1
HP,MATN2
TUBB,RC3H2
MDH2,HADHA
AHSG,SOD1
FN1,C4A
PGK1,LMNA
MARCKS,PDLIM5
PGAM1,PRDX2
DYSF,RIPOR2
SERPINH1,TPM4
FN1,FBN1
