from,to
RPS8,RPL12
RPL13,MYL12A
EEF1A1,RPL4
TFAP2A,CCDC80
HP1BP3,RPL13
PDHB,ATP5F1A
CAPNS1,FH
HSPB1,S100A4
RPS5,RPS3
RPL18,ACTB
PPP1R12A,FTH1
HMGB1,HMGA2
ANXA2,COL1A1
GAPDH,HNRNPD
LGALS3,CRIP1
HSPB1,SPTBN1
GAPDH,RPS9
RPL4,RPS5
RPSA,RPL34
CALD1,VMP1
P4HA1,COL8A1
PDHB,MAP1B
RPS8,RPS5
EEF1A1,PHB1
HNRNPD,HMGA1
CRIP1,HNRNPA3
RPS9,RPL12
SQSTM1,TCP1
HNRNPD,RPSA
VMP1,CSRP2
MAP1B,H2BC5
ANXA2,ACTB
RPL7A,RPL13
COL5A1,COL8A1
ATP5F1A,HEL-S-66p
HEL-S-66p,DUSP13B
EEF1A1,CSRP2
EEF1A1,ACTB
ZNF696,THBS2
ANXA1,ANXA7
RPL5,RPL24
HNRNPD,PDLIM7
SPTBN1,ACTR1A
HSP90B1,TRIM68
TRIM68,TCP1
NPM1,PYGB
RPL14,RPL13
PHB1,SERPINH1
RPL18,RPL27
TPM1,VMP1
ATP5F1A,HNRNPA3
PYGB,CYP1A1
RPSA,RPS3
RPS9,RPS5
HSP90B1,SPTBN1
RPS8,PHB1
MMP2,THBS2
RPL18,RPL5
PDHB,EEF1A1
LIMA1,EEF1D
RPL4,RPSA
PKM,PHB1
NPM1,PPP1R12A
RPS5,HMGB1
RPS5,RPL12
SQSTM1,H2BC5
RPL4,RPL24
LIMA1,CALD1
SPTBN1,CALD1
PHB1,TCP1
PKM,CLIP1
RPS8,RPL14
RPL5,RPL27
EEF1A1,RPS5
RPS9,PHB1
HSP90B1,ACTR1A
TPM1,HSP90B1
PKM,FH
PHB1,RPL34
MMP2,TIMP3
HMGB1,HNRNPA3
EEF1A1,HEL-S-66p
HSP90B1,P4HA1
RPL4,RPS8
HEL-S-66p,LMNA
RPL12,RPL24
TRIM68,LTBP2
RPS3,RPL34
LGALS3,SERPINH1
EEF1A1,ANXA2
PPP1R12A,HNRNPA3
EEF1D,LMNA
RPS9,RPL14
LIMA1,VCL
HNRNPD,H2BC5
EEF1A1,HNRNPA3
RPL4,RPL27
HSP90B1,EEF1D
RPL14,RPL34
RPL9,RPL34
HP1BP3,RPL14
MAP1B,SERPINH1
HNRNPD,RPS3
RPSA,RPS8
ACTR1A,DUSP13B
RPSA,HMGB1
PDHB,P4HA1
GSTK1,CYP1A1
RPSA,RPL12
MMP2,COL1A1
